From,To,Relation,Relation_details,Actor_A_OCgroupmemberships,Actor_B_OCgroupmemberships
108,2016,Co-Offenders,Same Cell,"G48, G107",G48
108,2029,Co-Offenders,Same Cell,"G48, G107",G48
108,2112,Co-Offenders,Same Cell,"G48, G107",G48
108,2151,Co-Offenders,Same Cell,"G48, G107",G48
23,108,Formal Criminal Organization,,"G48, G107",G48
49,108,Formal Criminal Organization,,"G48, G107",G48
76,108,Formal Criminal Organization,,"G48, G107",G48
105,108,Formal Criminal Organization,,"G48, G107",G48
106,108,Formal Criminal Organization,,"G48, G107",G48
107,108,Formal Criminal Organization,,"G48, G107",G48
108,240,Formal Criminal Organization,,"G48, G107",G48
108,265,Formal Criminal Organization,,"G48, G107",G48
108,355,Formal Criminal Organization,,"G48, G107",G48
108,505,Formal Criminal Organization,,"G48, G107",G48
108,580,Formal Criminal Organization,,"G48, G107",G48
108,589,Formal Criminal Organization,,"G48, G107",G48
108,803,Formal Criminal Organization,,"G48, G107",G48
108,828,Formal Criminal Organization,,"G48, G107",G48
108,886,Formal Criminal Organization,,"G48, G107",G48
108,899,Formal Criminal Organization,,"G48, G107",G48
108,962,Formal Criminal Organization,,"G48, G107",G48
108,1087,Formal Criminal Organization,,"G48, G107",G48
108,1209,Formal Criminal Organization,,"G48, G107",G48
108,1603,Formal Criminal Organization,,"G48, G107",G48
108,1631,Formal Criminal Organization,,"G48, G107",G48
108,1686,Formal Criminal Organization,,"G48, G107",G48
108,1976,Formal Criminal Organization,,"G48, G107",G48
108,2016,Formal Criminal Organization,,"G48, G107",G48
108,2029,Formal Criminal Organization,,"G48, G107",G48
108,2112,Formal Criminal Organization,,"G48, G107",G48
108,2151,Formal Criminal Organization,,"G48, G107",G48
105,108,Kinship,brother,"G48, G107",G48
106,108,Kinship,brother,"G48, G107",G48
107,108,Kinship,Father/Son,"G48, G107",G48
108,2166,Co-Offenders,Same Cell,"G48, G107","G48, G107"
108,2166,Formal Criminal Organization,,"G48, G107","G48, G107"
108,574,Co-Offenders,Same Cell,"G48, G107","G48, G127"
108,574,Formal Criminal Organization,,"G48, G107","G48, G127"
108,937,Associate/Friendship,Associate,"G48, G107","G48, G179"
108,937,Co-Offenders,Same Cell,"G48, G107","G48, G179"
108,937,Formal Criminal Organization,,"G48, G107","G48, G179"
108,937,Formal Criminal Organization,,"G48, G107","G48, G179"
108,283,Co-Offenders,Same Cell,"G48, G107","G48, G56"
108,1592,Co-Offenders,Same Cell,"G48, G107","G48, G56"
108,1595,Co-Offenders,Same Cell,"G48, G107","G48, G56"
108,283,Formal Criminal Organization,,"G48, G107","G48, G56"
108,1592,Formal Criminal Organization,,"G48, G107","G48, G56"
108,1595,Formal Criminal Organization,,"G48, G107","G48, G56"
108,710,Negative/Enemies,btb involved in attemps to shoot other oc individuals,"G48, G107","G50, G110"
115,1991,Associate/Friendship,Associate,NONE,NONE
119,147,Associate/Friendship,Associate,G49,NONE
119,147,Co-Offenders,cocaine trafficking & money laundering,G49,NONE
119,147,Legitimate,working together in legitimate business,G49,NONE
119,567,Associate/Friendship,Former Associate,G49,NONE
119,638,Associate/Friendship,Associate,G49,NONE
119,638,Co-Offenders,bt have acquired  airplane to transport cocaine,G49,NONE
119,1000,Associate/Friendship,Former Associate,G49,NONE
119,1672,Associate/Friendship,Former Associate,G49,NONE
119,1785,Associate/Friendship,Former Associate,G49,NONE
119,2058,Associate/Friendship,Former Associate,G49,NONE
119,2180,Associate/Friendship,Former Associate,G49,NONE
119,436,Associate/Friendship,Associate,G49,G49
119,1845,Associate/Friendship,Associate,G49,G49
119,1181,Associate/Friendship,Former Associate,G49,G49
119,1182,Associate/Friendship,Former Associate,G49,G49
119,1181,Co-Offenders,cocaine trafficking & money laundering,G49,G49
119,1182,Co-Offenders,cocaine trafficking & money laundering,G49,G49
119,161,Co-Offenders,Same Cell,G49,G49
119,1549,Co-Offenders,Same Cell,G49,G49
119,436,Co-Offenders,worked with 437 using his group to import cocaine.,G49,G49
119,1845,Co-Offenders,working together in the drug trade,G49,G49
119,1621,Associate/Friendship,Associate,G49,"G49, G99"
119,1755,Associate/Friendship,Associate,G49,G51
119,1829,Associate/Friendship,Associate,G49,G51
119,1832,Associate/Friendship,Associate,G49,G51
119,2194,Associate/Friendship,Associate,G49,"G8, G29, G72"
119,2194,Co-Offenders,btb obtaining cocaine from sources,G49,"G8, G29, G72"
