Node_ID,Gender,DOB_Year,Age_First_Analysis,Drug_Activity,Recode_Level,Drug_Type,Group_Membership_Type,Group_Membership_Code
1712,1,1967,49,0,0,0,2,11.0
1713,1,1980,36,1,10,23,7,4.0
1714,1.0,1954.0,62.0,1,8,34,7,4.0
1715,1,1977,39,1,8,1,7,4.0
1716,1,1956,60,1,10,2,7,4.0
1717,1,1985,31,0,0,0,7,4.0
1718,1,1983,33,0,0,0,3,13.0
1719,1,1985,31,1,8,1,7,4.0
1720,1,1981,35,0,0,0,7,4.0
1721,1,1953,63,1,3,8,7,4.0
1722,0,1968.0,48.0,0,0,0,4,99.0
1723,1,1960,56,1,3,8,2,11.0
1724,1,1968,48,1,1,1,2,11.0
1725,1,1958,58,1,38,7,9,2.0
1726,1,1973,43,0,0,0,4,99.0
